mass[GeV]	e_e	mu_mu	tau_tau	nue_nue	numu_numu	nutau_nutau	quarks
0.273	2.4419781063763107e-09	2.0084146979627757e-09	0.0	0.0	0.0	0.0	0.0059582704332241405
0.274	2.4509230811275627e-09	2.02333381580725e-09	0.0	0.0	0.0	0.0	0.0060024727640082135
0.275	2.4598680558787866e-09	2.0381309857538862e-09	0.0	0.0	0.0	0.0	0.00604631447408089
0.276	2.4688130306299823e-09	2.05280973885381e-09	0.0	0.0	0.0	0.0	0.006089805996747036
0.277	2.4777580053811504e-09	2.0673734659808287e-09	0.0	0.0	0.0	0.0	0.006132957351563084
0.278	2.486702980132292e-09	2.0818254251629197e-09	0.0	0.0	0.0	0.0	0.006175778165950741
0.279	2.4956479548834063e-09	2.0961687484303415e-09	0.0	0.0	0.0	0.0	0.006218277695387421
0.28	2.5045929296344957e-09	2.110406448218921e-09	0.0	0.0	0.0	0.0	0.006260464842286852
0.281	2.5135379043855587e-09	2.1245414233634883e-09	0.0	0.0	0.0	0.0	0.0063023481736726615
0.28200000000000003	2.5224828791365973e-09	2.138576464713216e-09	0.0	0.0	0.0	0.0	0.006343935937738338
0.28300000000000003	2.5314278538876107e-09	2.152514260397714e-09	0.0	0.0	0.0	0.0	0.006385236079378484
0.28400000000000003	2.5403728286386005e-09	2.1663574007701816e-09	0.0	0.0	0.0	0.0	0.006426256254768703
0.28500000000000003	2.5493178033895663e-09	2.1801083830515744e-09	0.0	0.0	0.0	0.0	0.006467003845064648
0.28600000000000003	2.5582627781405093e-09	2.193769615697672e-09	0.0	0.0	0.0	0.0	0.0065074859692845965
0.28700000000000003	2.567207752891428e-09	2.207343422509053e-09	0.0	0.0	0.0	0.0	0.00654770949643449
0.28800000000000003	2.5761527276423256e-09	2.2208320465022886e-09	0.0	0.0	0.0	0.0	0.006587681056929269
0.28900000000000003	2.5850977023932004e-09	2.234237653559146e-09	0.0	0.0	0.0	0.0	0.006627407053359977
0.29	2.5940426771440525e-09	2.2475623358691855e-09	0.0	0.0	0.0	0.0	0.006666893670651907
0.291	2.6029876518948847e-09	2.260808115179915e-09	0.0	0.0	0.0	0.0	0.006706146885655504
0.292	2.611932626645695e-09	2.273976945867505e-09	0.0	0.0	0.0	0.0	0.006745172476208285
0.293	2.620877601396484e-09	2.2870707178400415e-09	0.0	0.0	0.0	0.0	0.006783976029703076
0.294	2.629822576147254e-09	2.3000912592843654e-09	0.0	0.0	0.0	0.0	0.006822562951195087
0.295	2.638767550898003e-09	2.3130403392666775e-09	0.0	0.0	0.0	0.0	0.006860938471077826
0.296	2.647712525648733e-09	2.325919670196324e-09	0.0	0.0	0.0	0.0	0.006899107652355535
